year,month,alt_0,alt_1,alt_2,alt_3,alt_4,alt_5,alt_6,alt_7,alt_8,alt_9,alt_10,alt_11,alt_12,alt_13,alt_14,alt_15,alt_16,alt_17,alt_18,alt_19,alt_20,alt_21,alt_22,alt_23,alt_24,alt_25,alt_26,alt_27,alt_28,alt_29,alt_30,alt_31,alt_32,alt_33,alt_34,alt_35
2020,3,2.1328581177035887e-10,4.000990950971367e-11,9.98411556924994e-12,2.9206015595596795e-12,9.38058370389808e-13,3.2278063812839153e-13,1.1923096265908963e-13,4.8274567238915244e-14,2.2084000170136123e-14,1.1623522307368032e-14,7.0253653030701915e-15,4.75036996177611e-15,3.46166112965573e-15,2.635980098952054e-15,2.0594219370844244e-15,1.634730338204272e-15,1.3149627203412191e-15,1.0868323029933042e-15,9.208331084844634e-16,7.950167290796944e-16,6.95735982766376e-16,6.144189051935965e-16,5.470480077046471e-16,4.903632812900157e-16,4.4000260709660545e-16,3.9448315069977127e-16,3.536488783187378e-16,3.1885510640483916e-16,2.8920262859203313e-16,2.6383777478158426e-16,2.4205571381341063e-16,2.2327372034870373e-16,2.0700934719899317e-16,1.9286258548191776e-16,1.8050127222325787e-16,1.696491449453947e-16
2020,4,2.1640624267282434e-10,4.039852673921018e-11,1.0037769665342751e-11,2.922728058341402e-12,9.340928061924408e-13,3.199087694145344e-13,1.1776976175314721e-13,4.764968408119153e-14,2.1863595759989464e-14,1.1578254522448637e-14,7.045619786007143e-15,4.787787143433294e-15,3.4973229172536838e-15,2.6641963703962117e-15,2.07957197886769e-15,1.6479022400419702e-15,1.3227330005372545e-15,1.091098948167312e-15,9.227985402458475e-16,7.953386725677236e-16,6.947672439044673e-16,6.123527429049923e-16,5.429321200003833e-16,4.878670956523855e-16,4.3882090521812047e-16,3.9434051208838487e-16,3.5432236003233746e-16,3.2022056780205267e-16,2.9115391070672317e-16,2.6628117157103917e-16,2.449089417666805e-16,2.2646485541686147e-16,2.1047577545972897e-16,1.9654999856813663e-16,1.8436272661246147e-16,1.7364419542932296e-16
2020,5,1.970444491713953e-10,3.644752644051442e-11,8.981074623229651e-12,2.5966547211790574e-12,8.251822982079048e-13,2.81396682490654e-13,1.0328477411374863e-13,4.171826897899498e-14,1.9134263098978973e-14,1.0147977754484049e-14,6.193316380780779e-15,4.224643917382424e-15,3.100590156764382e-15,2.376336798757516e-15,1.8688184591194866e-15,1.4941163356056805e-15,1.2116709401173404e-15,1.0111826991761205e-15,8.66392068503422e-16,7.575086241543197e-16,6.721803966801381e-16,6.026147294523526e-16,5.438477524551736e-16,4.891438856710939e-16,4.401866636636265e-16,3.957648451516189e-16,3.5577829459578787e-16,3.2169267584977055e-16,2.9263011204509134e-16,2.6775176853667726e-16,2.4636622454348806e-16,2.2790276481171834e-16,2.1188961698079665e-16,1.9793620143778093e-16,1.8571864161919483e-16,1.749679260277951e-16
2020,6,1.7166782915248174e-10,3.1547292539111744e-11,7.731350029490092e-12,2.2272945708808333e-12,7.066394575948559e-13,2.4091045549156276e-13,8.843153770118693e-14,3.568343612744521e-14,1.6316495097131897e-14,8.617128203581236e-15,5.2422222056418076e-15,3.575329414250235e-15,2.633448057567349e-15,2.032516616688258e-15,1.6142610278764116e-15,1.3064580610190528e-15,1.074704133654683e-15,9.114561544103167e-16,7.95033405426971e-16,7.08859644840238e-16,6.425152436977613e-16,5.893579238340382e-16,5.450975972598637e-16,4.952797729486145e-16,4.450919903636633e-16,3.9955917355803546e-16,3.5858870032874833e-16,3.236573165010773e-16,2.938709124798963e-16,2.683750343328519e-16,2.4646444508650294e-16,2.2755625441218806e-16,2.1116799699328728e-16,1.9689972908966542e-16,1.8441939383940945e-16,1.7345084840211188e-16
2020,7,1.5969241083115602e-10,2.927829606055209e-11,7.165100024873242e-12,2.0623775613240813e-12,6.540835956624239e-13,2.230097054717286e-13,8.188934066281542e-14,3.30560923027995e-14,1.5117515300193405e-14,7.980486223372474e-15,4.853540132382684e-15,3.3125320331839466e-15,2.444256953084867e-15,1.8912923693992157e-15,1.5067985084302426e-15,1.2239380030702266e-15,1.0110037133049456e-15,8.61528390389576e-16,7.555114584025979e-16,6.775740415003052e-16,6.180349511474503e-16,5.70709789093552e-16,5.315925922258861e-16,4.969602637915521e-16,4.465065171570184e-16,4.0069363533737993e-16,3.594502146425645e-16,3.2428802298232647e-16,2.9430822730216194e-16,2.686505959146039e-16,2.4660501164023523e-16,2.275844600012951e-16,2.1110298895824858e-16,1.967577057320443e-16,1.8421405813377152e-16,1.731937909718601e-16
2020,8,1.723144811506254e-10,3.1900847233705515e-11,7.873048636886061e-12,2.2827992845918e-12,7.284067743336186e-13,2.4951209884239255e-13,9.190065175480315e-14,3.7141357160997564e-14,1.6972050898673123e-14,8.935620273821905e-15,5.413190463764136e-15,3.677868474650111e-15,2.7005213723965623e-15,2.0780523848135818e-15,1.6450924762989634e-15,1.3265119452214222e-15,1.0866177882622466e-15,9.174603461803963e-16,7.964260964196398e-16,7.063085736938681e-16,6.363469418828077e-16,5.797283633998174e-16,5.320926493318764e-16,4.906100540067277e-16,4.481422041058865e-16,4.017339035477651e-16,3.5994461013589697e-16,3.243268848678739e-16,2.9397039779671825e-16,2.6800281679011596e-16,2.45703731106247e-16,2.2647737647008624e-16,2.0983036836589626e-16,1.953535041812726e-16,1.827068775012186e-16,1.7160769151575125e-16
2020,9,1.9844701810354543e-10,3.673395738637754e-11,9.059662149662518e-12,2.6210654073560857e-12,8.33134412761294e-13,2.8407946839449973e-13,1.0424729223074577e-13,4.2105776933816697e-14,1.9318587061042198e-14,1.0249333371221686e-14,6.256343500490967e-15,4.2676062423735206e-15,3.131257946064304e-15,2.398213024731713e-15,1.8840204804628946e-15,1.504179050806782e-15,1.2177954139762832e-15,1.0143792041288186e-15,8.6731406890615565e-16,7.565669149780086e-16,6.696480928092492e-16,5.986909414779367e-16,5.386951241803674e-16,4.864440742024286e-16,4.384805851334481e-16,3.940544190557341e-16,3.540790874911502e-16,3.20015914252164e-16,2.9098412260825686e-16,2.6614266178598344e-16,2.44798342186674e-16,2.2637904547362293e-16,2.1041189363886222e-16,1.9650544223556302e-16,1.8433514406337074e-16,1.7363147300569976e-16
2020,10,2.382262192550362e-10,4.64402140173332e-11,1.1991077437264918e-11,3.6261446097536052e-12,1.2033706711823379e-12,4.2652889415709455e-13,1.6105677270397647e-13,6.57413470153857e-14,2.9751401812054734e-14,1.522483931853895e-14,8.87960570565809e-15,5.8184917304718975e-15,4.147794228994001e-15,3.114666936998523e-15,2.4116863099497103e-15,1.9018764541045355e-15,1.5206838451969283e-15,1.247154372860303e-15,1.0462831812134638e-15,8.9274682164354e-16,7.708663462464119e-16,6.707999165022325e-16,5.863047146379531e-16,5.194532013951889e-16,4.621324167028919e-16,4.107414939921236e-16,3.649670781360098e-16,3.2590856380112555e-16,2.9258255557989056e-16,2.6406698164333903e-16,2.395947223066438e-16,2.1852680208235205e-16,2.0033033155611413e-16,1.8456033107315072e-16,1.708447386291036e-16,1.5887203468486102e-16
2020,11,2.5740938226193957e-10,5.250639733461278e-11,1.410511173323895e-11,4.433127509409808e-12,1.5293825125067357e-12,5.623892671647568e-13,2.1885257040999893e-13,9.085476528571548e-14,4.099126930173183e-14,2.045765888264506e-14,1.1467282600883168e-14,7.218728333020894e-15,4.9930164166368705e-15,3.67922228800752e-15,2.8196367958022254e-15,2.212633736944292e-15,1.7651758345423778e-15,1.4444565036017044e-15,1.208130064624578e-15,1.0267025929885175e-15,8.821171641002816e-16,7.6309656329e-16,6.624999898659454e-16,5.858962006862907e-16,5.184311088204314e-16,4.580700719065789e-16,4.043787414694157e-16,3.583557001782429e-16,3.1891803658623167e-16,2.850518290045863e-16,2.5590585029592703e-16,2.3076461616632625e-16,2.0902606324519305e-16,1.9018300243719777e-16,1.7380768040763303e-16,1.5953891334945067e-16
2020,12,2.3375666544332234e-10,4.657405700911577e-11,1.225091349568775e-11,3.774898046114066e-12,1.2777915566258135e-12,4.617656013338549e-13,1.7716978420800412e-13,7.292957485748414e-14,3.289989173667391e-14,1.658673975625397e-14,9.464003789364819e-15,6.072381215806614e-15,4.2666896363803054e-15,3.181777203817009e-15,2.4609033487550647e-15,1.9460244610690095e-15,1.563510777909361e-15,1.2873761777495397e-15,1.0831340544293029e-15,9.263382362254385e-16,8.017486202753298e-16,6.996585592518136e-16,6.148457034916714e-16,5.435727718503323e-16,4.811970180515534e-16,4.258793004276554e-16,3.769904894515786e-16,3.3516595702501e-16,2.993798769162425e-16,2.686879530198015e-16,2.422998268530623e-16,2.1955323323823568e-16,1.9989262040414582e-16,1.8285142381204003e-16,1.6803735011376407e-16,1.5512014956356292e-16
