year,index
1900,0
1905,1
1910,2
1915,3
1920,4
1930,5
1935,6
1940,7
1945,8
1950,9
1955,10
1960,11
1965,12
1970,13
1975,14
1980,15
1985,16
1990,17
1995,18
2000,19
2005,20
2010,21
2015,22
